"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO Total Municipio Segundo Trimestre 2022","Promedio"
"Aguadilla","5","Construcción ","23","32","487","3078022","6325"
"Aguadilla","5","Manufactura","31-33","48","1738","28755452","16542"
"Aguadilla","5","Alimentos","311","20","366","3609692","9863"
"Aguadilla","5","Productos de Tabaco y Bebidas","312","1","*","*","*"
"Aguadilla","5","Textiles ","313","0","0","0","0"
"Aguadilla","5","Productos Textiles Excepto Ropa","314","0","0","0","0"
"Aguadilla","5","Ropa ","315","0","0","0","0"
"Aguadilla","5","Cuero y Productos Relacionados ","316","0","0","0","0"
"Aguadilla","5","Productos de Madera","321","1","*","*","*"
"Aguadilla","5","Papel","322","0","0","0","0"
"Aguadilla","5","Imprenta e Industrias Relacionadas ","323","0","0","0","0"
"Aguadilla","5","Productos de Petróleo y Carbón ","324","1","*","*","*"
"Aguadilla","5","Productos Químicos ","325","2","*","*","*"
"Aguadilla","5","Productos de Goma y Plásticos","326","1","*","*","*"
"Aguadilla","5","Productos Minerales no Metálicos ","327","2","*","*","*"
"Aguadilla","5","Industrias de Materiales Primarios ","331","1","*","*","*"
"Aguadilla","5","Productos de Metal ","332","4","16","58778","3599"
"Aguadilla","5","Maquinaria ","333","2","*","*","*"
"Aguadilla","5","Computadora y Productos Electrónicos","334","2","*","*","*"
"Aguadilla","5","Equipo y Aparatos Eléctricos ","335","2","*","*","*"
"Aguadilla","5","Equipo de Transportación ","336","0","0","0","0"
"Aguadilla","5","Muebles y Productos Relacionados ","337","4","11","18365","1722"
"Aguadilla","5","Industrias Manufactureras Misceláneas","339","5","355","2479855","6979"
"Aguadilla","5","Comercio al por Mayor","42","23","276","2656386","9636"
"Aguadilla","5","Comercio al Detal","44-45","218","2807","13431896","4785"
"Aguadilla","5","Transportación y Almacenamiento ","48-49","30","699","6863930","9815"
"Aguadilla","5","Información","51","11","302","2745551","9081"
"Aguadilla","5","Finanzas y Seguros ","52","25","271","2323681","8585"
"Aguadilla","5","Bienes Raíces, Renta o Arrendamiento ","53","35","282","1456612","5171"
"Aguadilla","5","Servicios Profesionales y Técnicos ","54","90","2726","38201181","14015"
"Aguadilla","5","Gerencia de Companías y Empresas ","55","1","*","*","*"
"Aguadilla","5","Servicios Adm. y Desperdicios Sólidos","56","21","*","*","*"
"Aguadilla","5","Servicios Educativos ","61","22","1799 ","13369506 ","7433 "
"Aguadilla","5","Servicios de Salud y Asistencia Social ","62","168","1453","9463491","6515"
"Aguadilla","5","Arte, Entretenimiento y Recreación ","71","10","122","512664","4202"
"Aguadilla","5","Alojamiento y Servicios de Alimentos ","72","118","1598","5942669","3718"
"Aguadilla","5","Otros Servicios Excepto Adm. Pública ","81","50","191","911551","4764"
"Aguadilla","5","Administración Pública ","92","30","3430 ","36583168 ","10665 "
"Aguadilla","5","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Aguas Buenas","7","Total Municipio Segundo Trimestre 2022 ","","159","1727","9554994","5533"
"Aguas Buenas","7","Agricultura, Bosque, Pesca y Caza","11","6","57","167683","2942"
"Aguas Buenas","7","Mineria","21","0","0","0","0"
"Aguas Buenas","7","Electricidad, Agua y Gas ","22","1","*","*","*"
"Aguas Buenas","7","Construcción ","23","19","170","974426","5743"
"Aguas Buenas","7","Manufactura","31-33","10","75","308087","4108"
"Aguas Buenas","7","Alimentos","311","4","44","168135","3850"
"Aguas Buenas","7","Productos de Tabaco y Bebidas","312","0","0","0","0"
"Aguas Buenas","7","Textiles ","313","0","0","0","0"
"Aguas Buenas","7","Productos Textiles Excepto Ropa","314","0","0","0","0"
"Aguas Buenas","7","Ropa ","315","1","*","*","*"
"Aguas Buenas","7","Cuero y Productos Relacionados ","316","0","0","0","0"
"Aguas Buenas","7","Productos de Madera","321","0","0","0","0"
"Aguas Buenas","7","Papel","322","0","0","0","0"
"Aguas Buenas","7","Imprenta e Industrias Relacionadas ","323","1","*","*","*"
"Aguas Buenas","7","Productos de Petróleo y Carbón ","324","0","0","0","0"
"Aguas Buenas","7","Productos Químicos ","325","0","0","0","0"
"Aguas Buenas","7","Productos de Goma y Plásticos","326","0","0","0","0"
"Aguas Buenas","7","Productos Minerales no Metálicos ","327","1","*","*","*"
"Aguas Buenas","7","Industrias de Materiales Primarios ","331","0","0","0","0"
"Aguas Buenas","7","Productos de Metal ","332","3","10","41585","4159"
"Aguas Buenas","7","Maquinaria ","333","0","0","0","0"
"Aguas Buenas","7","Computadora y Productos Electrónicos","334","0","0","0","0"
"Aguas Buenas","7","Equipo y Aparatos Eléctricos ","335","0","0","0","0"
"Aguas Buenas","7","Equipo de Transportación ","336","0","0","0","0"
"Aguas Buenas","7","Muebles y Productos Relacionados ","337","0","0","0","0"
"Aguas Buenas","7","Industrias Manufactureras Misceláneas","339","0","0","0","0"
"Aguas Buenas","7","Comercio al por Mayor","42","10","24","167246","6873"
"Aguas Buenas","7","Comercio al Detal","44-45","33","309","1718201","5561"
"Aguas Buenas","7","Transportación y Almacenamiento ","48-49","3","*","*","*"
"Aguas Buenas","7","Información","51","0","0","0","0"
"Aguas Buenas","7","Finanzas y Seguros ","52","3","48","373278","7777"
"Aguas Buenas","7","Bienes Raíces, Renta o Arrendamiento ","53","6","24","88404","3684"
"Aguas Buenas","7","Servicios Profesionales y Técnicos ","54","7","25","122771","4911"
"Aguas Buenas","7","Gerencia de Companías y Empresas ","55","0","0","0","0"
"Aguas Buenas","7","Servicios Adm. y Desperdicios Sólidos","56","3","33","136210","4170"
"Aguas Buenas","7","Servicios Educativos ","61","3","323 ","2224296 ","6886 "
"Aguas Buenas","7","Servicios de Salud y Asistencia Social ","62","25","110","735713","6688"
"Aguas Buenas","7","Arte, Entretenimiento y Recreación ","71","2","*","*","*"
"Aguas Buenas","7","Alojamiento y Servicios de Alimentos ","72","13","93","321536","3470"
"Aguas Buenas","7","Otros Servicios Excepto Adm. Pública ","81","6","15","71568","4667"
"Aguas Buenas","7","Administración Pública ","92","9","361 ","1756902 ","4871 "
"Aguas Buenas","7","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Aibonito","9","Total Municipio Segundo Trimestre 2022 ","","338","6068","45138529","7439"
"Aibonito","9","Agricultura, Bosque, Pesca y Caza","11","28","167","709345","4256"
"Aibonito","9","Mineria","21","0","0","0","0"
"Aibonito","9","Electricidad, Agua y Gas ","22","3","17","150527","8855"
"Aibonito","9","Construcción ","23","13","56","335258","5951"
"Aibonito","9","Manufactura","31-33","26","650","3724770","5730"
"Aibonito","9","Alimentos","311","14","*","*","*"
"Aibonito","9","Productos de Tabaco y Bebidas","312","2","*","*","*"
"Aibonito","9","Textiles ","313","0","0","0","0"
"Aibonito","9","Productos Textiles Excepto Ropa","314","0","0","0","0"
"Aibonito","9","Ropa ","315","1","*","*","*"
"Aibonito","9","Cuero y Productos Relacionados ","316","0","0","0","0"
"Aibonito","9","Productos de Madera","321","0","0","0","0"
"Aibonito","9","Papel","322","0","0","0","0"
"Aibonito","9","Imprenta e Industrias Relacionadas ","323","1","*","*","*"
"Aibonito","9","Productos de Petróleo y Carbón ","324","0","0","0","0"
"Aibonito","9","Productos Químicos ","325","2","*","*","*"
"Aibonito","9","Productos de Goma y Plásticos","326","0","0","0","0"
"Aibonito","9","Productos Minerales no Metálicos ","327","1","*","*","*"
"Aibonito","9","Industrias de Materiales Primarios ","331","0","0","0","0"
"Aibonito","9","Productos de Metal ","332","0","0","0","0"
"Aibonito","9","Maquinaria ","333","0","0","0","0"
"Aibonito","9","Computadora y Productos Electrónicos","334","0","0","0","0"
"Aibonito","9","Equipo y Aparatos Eléctricos ","335","1","*","*","*"
"Aibonito","9","Equipo de Transportación ","336","1","*","*","*"
"Aibonito","9","Muebles y Productos Relacionados ","337","2","*","*","*"
"Aibonito","9","Industrias Manufactureras Misceláneas","339","1","*","*","*"
"Aibonito","9","Comercio al por Mayor","42","9","67","414769","6160"
"Aibonito","9","Comercio al Detal","44-45","80","676","3386282","5009"
"Aibonito","9","Transportación y Almacenamiento ","48-49","7","39","171980","4410"
"Aibonito","9","Información","51","1","*","*","*"
"Aibonito","9","Finanzas y Seguros ","52","9","166","1456884","8776"
"Aibonito","9","Bienes Raíces, Renta o Arrendamiento ","53","3","8","57640","7205"
"Aibonito","9","Servicios Profesionales y Técnicos ","54","24","68","491859","7269"
"Aibonito","9","Gerencia de Companías y Empresas ","55","0","0","0","0"
"Aibonito","9","Servicios Adm. y Desperdicios Sólidos","56","7","*","*","*"
"Aibonito","9","Servicios Educativos ","61","3","429 ","3062881 ","7145 "
"Aibonito","9","Servicios de Salud y Asistencia Social ","62","63","1557","14856996","9544"
"Aibonito","9","Arte, Entretenimiento y Recreación ","71","0","0","0","0"
"Aibonito","9","Alojamiento y Servicios de Alimentos ","72","31","327","965237","2952"
"Aibonito","9","Otros Servicios Excepto Adm. Pública ","81","17","50","211176","4252"
"Aibonito","9","Administración Pública ","92","14","721 ","4478967 ","6209 "
"Aibonito","9","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Añasco","11","Total Municipio Segundo Trimestre 2022 ","","287","5964","45029430","7550"
"Añasco","11","Agricultura, Bosque, Pesca y Caza","11","14","36","70299","1935"
"Añasco","11","Mineria","21","1","*","*","*"
"Añasco","11","Electricidad, Agua y Gas ","22","1","*","*","*"
"Añasco","11","Construcción ","23","14","74","343929","4648"
"Añasco","11","Manufactura","31-33","31","3008","30179235","10032"
"Añasco","11","Alimentos","311","11","56","143163","2572"
"Añasco","11","Productos de Tabaco y Bebidas","312","0","0","0","0"
"Añasco","11","Textiles ","313","0","0","0","0"
"Añasco","11","Productos Textiles Excepto Ropa","314","0","0","0","0"
"Añasco","11","Ropa ","315","1","*","*","*"
"Añasco","11","Cuero y Productos Relacionados ","316","0","0","0","0"
"Añasco","11","Productos de Madera","321","0","0","0","0"
"Añasco","11","Papel","322","0","0","0","0"
"Añasco","11","Imprenta e Industrias Relacionadas ","323","2","*","*","*"
"Añasco","11","Productos de Petróleo y Carbón ","324","0","0","0","0"
"Añasco","11","Productos Químicos ","325","0","0","0","0"
"Añasco","11","Productos de Goma y Plásticos","326","1","*","*","*"
"Añasco","11","Productos Minerales no Metálicos ","327","0","0","0","0"
"Añasco","11","Industrias de Materiales Primarios ","331","0","0","0","0"
"Añasco","11","Productos de Metal ","332","6","52","235904","4537"
"Añasco","11","Maquinaria ","333","0","0","0","0"
"Añasco","11","Computadora y Productos Electrónicos","334","0","0","0","0"
"Añasco","11","Equipo y Aparatos Eléctricos ","335","1","*","*","*"
"Añasco","11","Equipo de Transportación ","336","0","0","0","0"
"Añasco","11","Muebles y Productos Relacionados ","337","2","*","*","*"
"Añasco","11","Industrias Manufactureras Misceláneas","339","7","2630","27955174","10628"
"Añasco","11","Comercio al por Mayor","42","8","88","646208","7343"
"Añasco","11","Comercio al Detal","44-45","55","566","2779369","4913"
"Añasco","11","Transportación y Almacenamiento ","48-49","4","*","*","*"
"Añasco","11","Información","51","3","19","211890","11152"
"Añasco","11","Finanzas y Seguros ","52","3","*","*","*"
"Añasco","11","Bienes Raíces, Renta o Arrendamiento ","53","9","23","99848","4341"
"Añasco","11","Servicios Profesionales y Técnicos ","54","13","50","378799","7627"
"Añasco","11","Gerencia de Companías y Empresas ","55","0","0","0","0"
"Añasco","11","Servicios Adm. y Desperdicios Sólidos","56","5","8","56199","6744"
"Añasco","11","Servicios Educativos ","61","4","350 ","2246783 ","6425 "
"Añasco","11","Servicios de Salud y Asistencia Social ","62","49","253","1168052","4617"
"Añasco","11","Arte, Entretenimiento y Recreación ","71","1","*","*","*"
"Añasco","11","Alojamiento y Servicios de Alimentos ","72","37","552","1822240","3299"
"Añasco","11","Otros Servicios Excepto Adm. Pública ","81","24","103","392467","3798"
"Añasco","11","Administración Pública ","92","11","519 ","2310800 ","4450 "
"Añasco","11","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Arecibo","13","Total Municipio Segundo Trimestre 2022 ","","1144","21505","153705388","7147"
"Arecibo","13","Agricultura, Bosque, Pesca y Caza","11","56","430","1547842","3597"
"Arecibo","13","Mineria","21","2","*","*","*"
"Arecibo","13","Electricidad, Agua y Gas ","22","3","539","6127298","11375"
"Arecibo","13","Construcción ","23","54","520","2925717","5630"
"Arecibo","13","Manufactura","31-33","46","3077","27346671","8886"
"Arecibo","13","Alimentos","311","20","323","1547633","4786"
"Arecibo","13","Productos de Tabaco y Bebidas","312","1","*","*","*"
"Arecibo","13","Textiles ","313","0","0","0","0"
"Arecibo","13","Productos Textiles Excepto Ropa","314","0","0","0","0"
"Arecibo","13","Ropa ","315","1","*","*","*"
"Arecibo","13","Cuero y Productos Relacionados ","316","1","*","*","*"
"Arecibo","13","Productos de Madera","321","0","0","0","0"
"Arecibo","13","Papel","322","1","*","*","*"
"Arecibo","13","Imprenta e Industrias Relacionadas ","323","2","*","*","*"
"Arecibo","13","Productos de Petróleo y Carbón ","324","0","0","0","0"
"Arecibo","13","Productos Químicos ","325","1","*","*","*"
"Arecibo","13","Productos de Goma y Plásticos","326","1","*","*","*"
"Arecibo","13","Productos Minerales no Metálicos ","327","2","*","*","*"
"Arecibo","13","Industrias de Materiales Primarios ","331","2","*","*","*"
"Arecibo","13","Productos de Metal ","332","6","13","49193","3784"
"Arecibo","13","Maquinaria ","333","1","*","*","*"
"Arecibo","13","Computadora y Productos Electrónicos","334","0","0","0","0"
"Arecibo","13","Equipo y Aparatos Eléctricos ","335","3","*","*","*"
"Arecibo","13","Equipo de Transportación ","336","0","0","0","0"
"Arecibo","13","Muebles y Productos Relacionados ","337","3","9","63925","7103"
"Arecibo","13","Industrias Manufactureras Misceláneas","339","1","*","*","*"
"Arecibo","13","Comercio al por Mayor","42","40","211","1271080","6015"
"Arecibo","13","Comercio al Detal","44-45","252","2382","13873694","5824"
"Arecibo","13","Transportación y Almacenamiento ","48-49","30","279","2587015","9272"
"Arecibo","13","Información","51","12","166","1152204","6955"
"Arecibo","13","Finanzas y Seguros ","52","36","560","4626241","8261"
"Arecibo","13","Bienes Raíces, Renta o Arrendamiento ","53","31","93","772071","8302"
"Arecibo","13","Servicios Profesionales y Técnicos ","54","72","263","2538622","9640"
"Arecibo","13","Gerencia de Companías y Empresas ","55","2","*","*","*"
"Arecibo","13","Servicios Adm. y Desperdicios Sólidos","56","37","369","2319004","6290"
"Arecibo","13","Servicios Educativos ","61","22","2979 ","21312949 ","7155 "
"Arecibo","13","Servicios de Salud y Asistencia Social ","62","251","3689","25125765","6810"
"Arecibo","13","Arte, Entretenimiento y Recreación ","71","4","33","121491","3719"
"Arecibo","13","Alojamiento y Servicios de Alimentos ","72","101","1181","3994630","3383"
"Arecibo","13","Otros Servicios Excepto Adm. Pública ","81","56","285","1187223","4166"
"Arecibo","13","Administración Pública ","92","37","4345 ","34462818 ","7932 "
"Arecibo","13","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Arroyo","15","Total Municipio Segundo Trimestre 2022 ","","102","2625","20452184","7792"
"Arroyo","15","Agricultura, Bosque, Pesca y Caza","11","5","6","20049","3342"
"Arroyo","15","Mineria","21","0","0","0","0"
"Arroyo","15","Electricidad, Agua y Gas ","22","0","0","0","0"
"Arroyo","15","Construcción ","23","5","41","170296","4154"
"Arroyo","15","Manufactura","31-33","7","*","*","*"
"Arroyo","15","Alimentos","311","0","0","0","0"
"Arroyo","15","Productos de Tabaco y Bebidas","312","0","0","0","0"
"Arroyo","15","Textiles ","313","0","0","0","0"
"Arroyo","15","Productos Textiles Excepto Ropa","314","0","0","0","0"
"Arroyo","15","Ropa ","315","1","*","*","*"
"Arroyo","15","Cuero y Productos Relacionados ","316","0","0","0","0"
"Arroyo","15","Productos de Madera","321","0","0","0","0"
"Arroyo","15","Papel","322","0","0","0","0"
"Arroyo","15","Imprenta e Industrias Relacionadas ","323","0","0","0","0"
"Arroyo","15","Productos de Petróleo y Carbón ","324","0","0","0","0"
"Arroyo","15","Productos Químicos ","325","1","*","*","*"
"Arroyo","15","Productos de Goma y Plásticos","326","0","0","0","0"
"Arroyo","15","Productos Minerales no Metálicos ","327","1","*","*","*"
"Arroyo","15","Industrias de Materiales Primarios ","331","0","0","0","0"
"Arroyo","15","Productos de Metal ","332","1","*","*","*"
"Arroyo","15","Maquinaria ","333","1","*","*","*"
"Arroyo","15","Computadora y Productos Electrónicos","334","0","0","0","0"
"Arroyo","15","Equipo y Aparatos Eléctricos ","335","1","*","*","*"
"Arroyo","15","Equipo de Transportación ","336","0","0","0","0"
"Arroyo","15","Muebles y Productos Relacionados ","337","0","0","0","0"
"Arroyo","15","Industrias Manufactureras Misceláneas","339","1","*","*","*"
"Arroyo","15","Comercio al por Mayor","42","0","0","0","0"
"Arroyo","15","Comercio al Detal","44-45","22","457","1952217","4275"
"Arroyo","15","Transportación y Almacenamiento ","48-49","1","*","*","*"
"Arroyo","15","Información","51","1","*","*","*"
"Arroyo","15","Finanzas y Seguros ","52","2","*","*","*"
"Arroyo","15","Bienes Raíces, Renta o Arrendamiento ","53","5","6","43591","7265"
"Arroyo","15","Servicios Profesionales y Técnicos ","54","1","*","*","*"
"Arroyo","15","Gerencia de Companías y Empresas ","55","0","0","0","0"
"Arroyo","15","Servicios Adm. y Desperdicios Sólidos","56","0","0","0","0"
"Arroyo","15","Servicios Educativos ","61","2","273 ","1907556 ","6996 "
"Arroyo","15","Servicios de Salud y Asistencia Social ","62","20","202","1726642","8548"
"Arroyo","15","Arte, Entretenimiento y Recreación ","71","0","0","0","0"
"Arroyo","15","Alojamiento y Servicios de Alimentos ","72","16","192","720155","3751"
"Arroyo","15","Otros Servicios Excepto Adm. Pública ","81","6","17","62791","3767"
"Arroyo","15","Administración Pública ","92","9","437 ","1920914 ","4396 "
"Arroyo","15","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Barceloneta","17","Total Municipio Segundo Trimestre 2022 ","","295","10310","85475387","8291"
"Barceloneta","17","Agricultura, Bosque, Pesca y Caza","11","2","*","*","*"
"Barceloneta","17","Mineria","21","0","0","0","0"
"Barceloneta","17","Electricidad, Agua y Gas ","22","1","*","*","*"
"Barceloneta","17","Construcción ","23","28","482","3066245","6366"
"Barceloneta","17","Manufactura","31-33","22","2907","44572785","15333"
"Barceloneta","17","Alimentos","311","6","*","*","*"
"Barceloneta","17","Productos de Tabaco y Bebidas","312","1","*","*","*"
"Barceloneta","17","Textiles ","313","0","0","0","0"
"Barceloneta","17","Productos Textiles Excepto Ropa","314","0","0","0","0"
"Barceloneta","17","Ropa ","315","0","0","0","0"
"Barceloneta","17","Cuero y Productos Relacionados ","316","0","0","0","0"
"Barceloneta","17","Productos de Madera","321","0","0","0","0"
"Barceloneta","17","Papel","322","0","0","0","0"
"Barceloneta","17","Imprenta e Industrias Relacionadas ","323","0","0","0","0"
"Barceloneta","17","Productos de Petróleo y Carbón ","324","0","0","0","0"
"Barceloneta","17","Productos Químicos ","325","7","1734","34859659","20104"
"Barceloneta","17","Productos de Goma y Plásticos","326","1","*","*","*"
"Barceloneta","17","Productos Minerales no Metálicos ","327","0","0","0","0"
"Barceloneta","17","Industrias de Materiales Primarios ","331","2","*","*","*"
"Barceloneta","17","Productos de Metal ","332","2","*","*","*"
"Barceloneta","17","Maquinaria ","333","1","*","*","*"
"Barceloneta","17","Computadora y Productos Electrónicos","334","1","*","*","*"
"Barceloneta","17","Equipo y Aparatos Eléctricos ","335","0","0","0","0"
"Barceloneta","17","Equipo de Transportación ","336","0","0","0","0"
"Barceloneta","17","Muebles y Productos Relacionados ","337","1","*","*","*"
"Barceloneta","17","Industrias Manufactureras Misceláneas","339","0","0","0","0"
"Barceloneta","17","Comercio al por Mayor","42","10","107","762304","7102"
"Barceloneta","17","Comercio al Detal","44-45","83","1960","10017793","5111"
"Barceloneta","17","Transportación y Almacenamiento ","48-49","4","*","*","*"
"Barceloneta","17","Información","51","3","73","366072","5015"
"Barceloneta","17","Finanzas y Seguros ","52","7","57","370737","6504"
"Barceloneta","17","Bienes Raíces, Renta o Arrendamiento ","53","6","58","384710","6671"
"Barceloneta","17","Servicios Profesionales y Técnicos ","54","10","42","297147","7019"
"Barceloneta","17","Gerencia de Companías y Empresas ","55","0","0","0","0"
"Barceloneta","17","Servicios Adm. y Desperdicios Sólidos","56","7","1332","7358638","5526"
"Barceloneta","17","Servicios Educativos ","61","4","342 ","2253430 ","6589 "
"Barceloneta","17","Servicios de Salud y Asistencia Social ","62","32","1027","6466841","6299"
"Barceloneta","17","Arte, Entretenimiento y Recreación ","71","0","0","0","0"
"Barceloneta","17","Alojamiento y Servicios de Alimentos ","72","48","808","3036680","3757"
"Barceloneta","17","Otros Servicios Excepto Adm. Pública ","81","17","60","242352","4017"
"Barceloneta","17","Administración Pública ","92","11","844 ","4179069 ","4952 "
"Barceloneta","17","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Barranquitas","19","Total Municipio Segundo Trimestre 2022 ","","356","3103","18635994","6005"
"Barranquitas","19","Agricultura, Bosque, Pesca y Caza","11","45","118","281215","2390"
"Barranquitas","19","Mineria","21","0","0","0","0"
"Barranquitas","19","Electricidad, Agua y Gas ","22","2","*","*","*"
"Barranquitas","19","Construcción ","23","37","133","628060","4710"
"Barranquitas","19","Manufactura","31-33","16","92","402316","4389"
"Barranquitas","19","Alimentos","311","8","40","140898","3552"
