MUNICIPIO,CTY,INDUSTRIA,NAICS,UNIDADES,EMPLEO PROMEDIO,SALRIO Total Municipio Segundo Trimestre 2019,Promedio
Adjuntas,1,Servicios de Salud y Asistencia Social   ,62,27,196,"1,175,716","6,009"
Adjuntas,1,"Arte, Entretenimiento y Recreación       ",71,0,0,0,0
Adjuntas,1,Alojamiento y Servicios de Alimentos     ,72,18,96,"216,672","2,265"
Adjuntas,1,Otros Servicios Excepto Adm. Pública     ,81,4,8,"27,450","3,431"
Adjuntas,1,Administración Pública                   ,92,10,259,1272901,4908
Adjuntas,1,Otros (Establecimientos no Clasificados) ,99,0,0,0,0
Aguada,3,Total Municipio Segundo Trimestre 2021 ,,545,"4,406","22,674,654","5,146"
Aguada,3,"Agricultura, Bosque, Pesca y Caza        ",11,15,36,"91,090","2,530"
Aguada,3,Mineria                                  ,21,2,*,*,*
Aguada,3,"Electricidad, Agua y Gas                 ",22,1,*,*,*
Aguada,3,Construcción                             ,23,40,329,"1,457,695","4,435"
Aguada,3,Manufactura                              ,31-33,30,207,"675,490","3,258"
Aguada,3,Alimentos                                ,311,14,108,"327,613","3,033"
Aguada,3,Productos de Tabaco y Bebidas            ,312,1,*,*,*
Aguada,3,Textiles                                 ,313,0,0,0,0
Aguada,3,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Aguada,3,Ropa                                     ,315,1,*,*,*
Aguada,3,Cuero y Productos Relacionados           ,316,0,0,0,0
Aguada,3,Productos de Madera                      ,321,0,0,0,0
Aguada,3,Papel                                    ,322,0,0,0,0
Aguada,3,Imprenta e Industrias Relacionadas       ,323,3,8,"24,249","3,031"
Aguada,3,Productos de Petróleo y Carbón           ,324,0,0,0,0
Aguada,3,Productos Químicos                       ,325,0,0,0,0
Aguada,3,Productos de Goma y Plásticos            ,326,1,*,*,*
Aguada,3,Productos Minerales no Metálicos         ,327,3,30,"102,295","3,372"
Aguada,3,Industrias de Materiales Primarios       ,331,1,*,*,*
Aguada,3,Productos de Metal                       ,332,3,*,*,*
Aguada,3,Maquinaria                               ,333,0,0,0,0
Aguada,3,Computadora y Productos Electrónicos    ,334,0,0,0,0
Aguada,3,Equipo y Aparatos Eléctricos             ,335,0,0,0,0
Aguada,3,Equipo de Transportación                 ,336,0,0,0,0
Aguada,3,Muebles y Productos Relacionados         ,337,2,*,*,*
Aguada,3,Industrias Manufactureras Misceláneas    ,339,1,*,*,*
Aguada,3,Comercio al por Mayor                    ,42,12,41,"165,999","4,082"
Aguada,3,Comercio al Detal                        ,44-45,152,"1,064","4,500,406","4,228"
Aguada,3,Transportación y Almacenamiento           ,48-49,8,35,"325,808","9,221"
Aguada,3,Información                              ,51,2,*,*,*
Aguada,3,Finanzas y Seguros                       ,52,12,98,"644,576","6,577"
Aguada,3,"Bienes Raíces, Renta o Arrendamiento     ",53,8,48,"151,797","3,162"
Aguada,3,Servicios Profesionales y Técnicos       ,54,35,113,"940,296","8,297"
Aguada,3,Gerencia de Companías y Empresas         ,55,0,0,0,0
Aguada,3,Servicios Adm. y Desperdicios Sólidos    ,56,16,236,"868,469","3,675"
Aguada,3,Servicios Educativos                     ,61,11,662,4302481,6502
Aguada,3,Servicios de Salud y Asistencia Social   ,62,85,375,"1,920,278","5,121"
Aguada,3,"Arte, Entretenimiento y Recreación       ",71,3,25,"23,586",956
Aguada,3,Alojamiento y Servicios de Alimentos     ,72,63,480,"1,388,047","2,894"
Aguada,3,Otros Servicios Excepto Adm. Pública     ,81,37,94,"390,739","4,172"
Aguada,3,Administración Pública                   ,92,13,537,4718550,8781
Aguada,3,Otros (Establecimientos no Clasificados) ,99,0,0,0,0
Aguadilla,5,Total Municipio Segundo Trimestre 2021 ,,906,"18,137","148,966,078","8,213"
Aguadilla,5,"Agricultura, Bosque, Pesca y Caza        ",11,14,55,"141,806","2,563"
Aguadilla,5,Mineria                                  ,21,1,*,*,*
Aguadilla,5,"Electricidad, Agua y Gas                 ",22,3,287,"2,514,384","8,771"
Aguadilla,5,Construcción                             ,23,30,441,"2,472,272","5,606"
Aguadilla,5,Manufactura                              ,31-33,44,"1,266","14,870,425","11,746"
Aguadilla,5,Alimentos                                ,311,20,351,"2,017,127","5,752"
Aguadilla,5,Productos de Tabaco y Bebidas            ,312,1,*,*,*
Aguadilla,5,Textiles                                 ,313,0,0,0,0
Aguadilla,5,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Aguadilla,5,Ropa                                     ,315,0,0,0,0
Aguadilla,5,Cuero y Productos Relacionados           ,316,0,0,0,0
Aguadilla,5,Productos de Madera                      ,321,1,*,*,*
Aguadilla,5,Papel                                    ,322,0,0,0,0
Aguadilla,5,Imprenta e Industrias Relacionadas       ,323,0,0,0,0
Aguadilla,5,Productos de Petróleo y Carbón           ,324,1,*,*,*
Aguadilla,5,Productos Químicos                       ,325,0,0,0,0
Aguadilla,5,Productos de Goma y Plásticos            ,326,1,*,*,*
Aguadilla,5,Productos Minerales no Metálicos         ,327,3,24,"92,170","3,788"
Aguadilla,5,Industrias de Materiales Primarios       ,331,0,0,0,0
Aguadilla,5,Productos de Metal                       ,332,3,13,"40,393","3,107"
Aguadilla,5,Maquinaria                               ,333,2,*,*,*
Aguadilla,5,Computadora y Productos Electrónicos    ,334,2,*,*,*
Aguadilla,5,Equipo y Aparatos Eléctricos             ,335,2,*,*,*
Aguadilla,5,Equipo de Transportación                 ,336,0,0,0,0
Aguadilla,5,Muebles y Productos Relacionados         ,337,4,9,"11,018","1,181"
Aguadilla,5,Industrias Manufactureras Misceláneas    ,339,4,117,"979,682","8,397"
Aguadilla,5,Comercio al por Mayor                    ,42,25,523,"7,699,460","14,722"
Aguadilla,5,Comercio al Detal                        ,44-45,200,"2,668","11,437,640","4,288"
Aguadilla,5,Transportación y Almacenamiento           ,48-49,31,591,"5,577,673","9,443"
Aguadilla,5,Información                              ,51,12,306,"2,055,306","6,709"
Aguadilla,5,Finanzas y Seguros                       ,52,30,292,"2,568,386","8,796"
Aguadilla,5,"Bienes Raíces, Renta o Arrendamiento     ",53,36,270,"1,130,647","4,193"
Aguadilla,5,Servicios Profesionales y Técnicos       ,54,82,"2,324","31,116,989","13,387"
Aguadilla,5,Gerencia de Companías y Empresas         ,55,0,0,0,0
Aguadilla,5,Servicios Adm. y Desperdicios Sólidos    ,56,23,*,*,*
Aguadilla,5,Servicios Educativos                     ,61,19,1832,13223564,7217
Aguadilla,5,Servicios de Salud y Asistencia Social   ,62,167,"1,626","10,245,946","6,303"
Aguadilla,5,"Arte, Entretenimiento y Recreación       ",71,9,116,"337,194","2,915"
Aguadilla,5,Alojamiento y Servicios de Alimentos     ,72,101,"1,415","4,506,445","3,184"
Aguadilla,5,Otros Servicios Excepto Adm. Pública     ,81,48,175,"686,430","3,915"
Aguadilla,5,Administración Pública                   ,92,31,3446,35710324,10364
Aguadilla,5,Otros (Establecimientos no Clasificados) ,99,0,0,0,0
Aguas Buenas,7,Total Municipio Segundo Trimestre 2021 ,,146,"1,630","8,702,836","5,338"
Aguas Buenas,7,"Agricultura, Bosque, Pesca y Caza        ",11,5,56,"140,014","2,485"
Aguas Buenas,7,Mineria                                  ,21,0,0,0,0
Aguas Buenas,7,"Electricidad, Agua y Gas                 ",22,1,*,*,*
Aguas Buenas,7,Construcción                             ,23,13,132,"733,170","5,554"
Aguas Buenas,7,Manufactura                              ,31-33,9,85,"375,327","4,416"
Aguas Buenas,7,Alimentos                                ,311,4,37,"153,723","4,118"
Aguas Buenas,7,Productos de Tabaco y Bebidas            ,312,0,0,0,0
Aguas Buenas,7,Textiles                                 ,313,0,0,0,0
Aguas Buenas,7,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Aguas Buenas,7,Ropa                                     ,315,1,*,*,*
Aguas Buenas,7,Cuero y Productos Relacionados           ,316,0,0,0,0
Aguas Buenas,7,Productos de Madera                      ,321,0,0,0,0
Aguas Buenas,7,Papel                                    ,322,0,0,0,0
Aguas Buenas,7,Imprenta e Industrias Relacionadas       ,323,1,*,*,*
Aguas Buenas,7,Productos de Petróleo y Carbón           ,324,0,0,0,0
Aguas Buenas,7,Productos Químicos                       ,325,0,0,0,0
Aguas Buenas,7,Productos de Goma y Plásticos            ,326,0,0,0,0
Aguas Buenas,7,Productos Minerales no Metálicos         ,327,1,*,*,*
Aguas Buenas,7,Industrias de Materiales Primarios       ,331,0,0,0,0
Aguas Buenas,7,Productos de Metal                       ,332,2,*,*,*
Aguas Buenas,7,Maquinaria                               ,333,0,0,0,0
Aguas Buenas,7,Computadora y Productos Electrónicos    ,334,0,0,0,0
Aguas Buenas,7,Equipo y Aparatos Eléctricos             ,335,0,0,0,0
Aguas Buenas,7,Equipo de Transportación                 ,336,0,0,0,0
Aguas Buenas,7,Muebles y Productos Relacionados         ,337,0,0,0,0
Aguas Buenas,7,Industrias Manufactureras Misceláneas    ,339,0,0,0,0
Aguas Buenas,7,Comercio al por Mayor                    ,42,8,28,"177,272","6,407"
Aguas Buenas,7,Comercio al Detal                        ,44-45,33,307,"1,534,495","4,998"
Aguas Buenas,7,Transportación y Almacenamiento           ,48-49,3,8,"119,146","14,298"
Aguas Buenas,7,Información                              ,51,1,*,*,*
Aguas Buenas,7,Finanzas y Seguros                       ,52,3,48,"366,241","7,630"
Aguas Buenas,7,"Bienes Raíces, Renta o Arrendamiento     ",53,5,17,"51,447","3,026"
Aguas Buenas,7,Servicios Profesionales y Técnicos       ,54,7,22,"169,095","7,686"
Aguas Buenas,7,Gerencia de Companías y Empresas         ,55,0,0,0,0
Aguas Buenas,7,Servicios Adm. y Desperdicios Sólidos    ,56,2,*,*,*
Aguas Buenas,7,Servicios Educativos                     ,61,3,331,2128515,6431
Aguas Buenas,7,Servicios de Salud y Asistencia Social   ,62,25,104,"676,716","6,507"
Aguas Buenas,7,"Arte, Entretenimiento y Recreación       ",71,2,*,*,*
Aguas Buenas,7,Alojamiento y Servicios de Alimentos     ,72,10,76,"227,488","2,993"
Aguas Buenas,7,Otros Servicios Excepto Adm. Pública     ,81,6,14,"58,292","4,067"
Aguas Buenas,7,Administración Pública                   ,92,10,359,1720002,4787
Aguas Buenas,7,Otros (Establecimientos no Clasificados) ,99,0,0,0,0
Aibonito,9,Total Municipio Segundo Trimestre 2021 ,,328,"5,732","39,196,946","6,839"
Aibonito,9,"Agricultura, Bosque, Pesca y Caza        ",11,27,160,"659,528","4,113"
Aibonito,9,Mineria                                  ,21,0,0,0,0
Aibonito,9,"Electricidad, Agua y Gas                 ",22,4,12,"109,848","9,154"
Aibonito,9,Construcción                             ,23,11,47,"180,942","3,850"
Aibonito,9,Manufactura                              ,31-33,25,"1,419","11,744,958","8,277"
Aibonito,9,Alimentos                                ,311,14,*,*,*
Aibonito,9,Productos de Tabaco y Bebidas            ,312,2,*,*,*
Aibonito,9,Textiles                                 ,313,0,0,0,0
Aibonito,9,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Aibonito,9,Ropa                                     ,315,1,*,*,*
Aibonito,9,Cuero y Productos Relacionados           ,316,0,0,0,0
Aibonito,9,Productos de Madera                      ,321,0,0,0,0
Aibonito,9,Papel                                    ,322,0,0,0,0
Aibonito,9,Imprenta e Industrias Relacionadas       ,323,1,*,*,*
Aibonito,9,Productos de Petróleo y Carbón           ,324,0,0,0,0
Aibonito,9,Productos Químicos                       ,325,1,*,*,*
Aibonito,9,Productos de Goma y Plásticos            ,326,0,0,0,0
Aibonito,9,Productos Minerales no Metálicos         ,327,1,*,*,*
Aibonito,9,Industrias de Materiales Primarios       ,331,0,0,0,0
Aibonito,9,Productos de Metal                       ,332,0,0,0,0
Aibonito,9,Maquinaria                               ,333,0,0,0,0
Aibonito,9,Computadora y Productos Electrónicos    ,334,0,0,0,0
Aibonito,9,Equipo y Aparatos Eléctricos             ,335,1,*,*,*
Aibonito,9,Equipo de Transportación                 ,336,1,*,*,*
Aibonito,9,Muebles y Productos Relacionados         ,337,2,*,*,*
Aibonito,9,Industrias Manufactureras Misceláneas    ,339,1,*,*,*
Aibonito,9,Comercio al por Mayor                    ,42,10,64,"393,605","6,182"
Aibonito,9,Comercio al Detal                        ,44-45,76,653,"2,741,078","4,196"
Aibonito,9,Transportación y Almacenamiento           ,48-49,7,51,"402,304","7,940"
Aibonito,9,Información                              ,51,1,*,*,*
Aibonito,9,Finanzas y Seguros                       ,52,9,159,"1,391,745","8,735"
Aibonito,9,"Bienes Raíces, Renta o Arrendamiento     ",53,3,7,"53,780","7,683"
Aibonito,9,Servicios Profesionales y Técnicos       ,54,21,56,"362,196","6,468"
Aibonito,9,Gerencia de Companías y Empresas         ,55,0,0,0,0
Aibonito,9,Servicios Adm. y Desperdicios Sólidos    ,56,6,*,*,*
Aibonito,9,Servicios Educativos                     ,61,3,437,2889791,6613
Aibonito,9,Servicios de Salud y Asistencia Social   ,62,61,"1,530","12,360,488","8,077"
Aibonito,9,"Arte, Entretenimiento y Recreación       ",71,1,*,*,*
Aibonito,9,Alojamiento y Servicios de Alimentos     ,72,31,291,"790,400","2,713"
Aibonito,9,Otros Servicios Excepto Adm. Pública     ,81,17,46,"164,462","3,601"
Aibonito,9,Administración Pública                   ,92,15,701,4556851,6504
Aibonito,9,Otros (Establecimientos no Clasificados) ,99,0,0,0,0
Añasco,11,Total Municipio Segundo Trimestre 2021 ,,266,"4,949","37,700,404","7,618"
Añasco,11,"Agricultura, Bosque, Pesca y Caza        ",11,13,32,"69,202","2,185"
Añasco,11,Mineria                                  ,21,1,*,*,*
Añasco,11,"Electricidad, Agua y Gas                 ",22,1,*,*,*
Añasco,11,Construcción                             ,23,12,56,"262,040","4,652"
Añasco,11,Manufactura                              ,31-33,28,"2,480","26,218,251","10,570"
Añasco,11,Alimentos                                ,311,9,46,"100,608","2,187"
Añasco,11,Productos de Tabaco y Bebidas            ,312,0,0,0,0
Añasco,11,Textiles                                 ,313,0,0,0,0
Añasco,11,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Añasco,11,Ropa                                     ,315,0,0,0,0
Añasco,11,Cuero y Productos Relacionados           ,316,0,0,0,0
Añasco,11,Productos de Madera                      ,321,0,0,0,0
Añasco,11,Papel                                    ,322,0,0,0,0
Añasco,11,Imprenta e Industrias Relacionadas       ,323,2,*,*,*
Añasco,11,Productos de Petróleo y Carbón           ,324,0,0,0,0
Añasco,11,Productos Químicos                       ,325,0,0,0,0
Añasco,11,Productos de Goma y Plásticos            ,326,1,*,*,*
Añasco,11,Productos Minerales no Metálicos         ,327,0,0,0,0
Añasco,11,Industrias de Materiales Primarios       ,331,0,0,0,0
Añasco,11,Productos de Metal                       ,332,6,50,"193,815","3,902"
Añasco,11,Maquinaria                               ,333,0,0,0,0
Añasco,11,Computadora y Productos Electrónicos    ,334,0,0,0,0
Añasco,11,Equipo y Aparatos Eléctricos             ,335,1,*,*,*
Añasco,11,Equipo de Transportación                 ,336,0,0,0,0
Añasco,11,Muebles y Productos Relacionados         ,337,2,*,*,*
Añasco,11,Industrias Manufactureras Misceláneas    ,339,7,"2,156","24,210,775","11,231"
Añasco,11,Comercio al por Mayor                    ,42,9,86,"605,552","7,041"
Añasco,11,Comercio al Detal                        ,44-45,47,500,"2,085,196","4,173"
Añasco,11,Transportación y Almacenamiento           ,48-49,2,*,*,*
Añasco,11,Información                              ,51,2,*,*,*
Añasco,11,Finanzas y Seguros                       ,52,4,93,"793,011","8,527"
Añasco,11,"Bienes Raíces, Renta o Arrendamiento     ",53,10,20,"90,359","4,444"
Añasco,11,Servicios Profesionales y Técnicos       ,54,13,30,"245,686","8,190"
Añasco,11,Gerencia de Companías y Empresas         ,55,0,0,0,0
Añasco,11,Servicios Adm. y Desperdicios Sólidos    ,56,4,7,"37,773","5,396"
Añasco,11,Servicios Educativos                     ,61,4,333,2050681,6164
Añasco,11,Servicios de Salud y Asistencia Social   ,62,46,243,"895,790","3,686"
Añasco,11,"Arte, Entretenimiento y Recreación       ",71,2,*,*,*
Añasco,11,Alojamiento y Servicios de Alimentos     ,72,32,457,"1,395,719","3,052"
Añasco,11,Otros Servicios Excepto Adm. Pública     ,81,24,63,"219,841","3,471"
Añasco,11,Administración Pública                   ,92,12,485,2147986,4429
Añasco,11,Otros (Establecimientos no Clasificados) ,99,0,0,0,0
Arecibo,13,Total Municipio Segundo Trimestre 2021 ,,"1,115","20,446","133,681,278","6,538"
Arecibo,13,"Agricultura, Bosque, Pesca y Caza        ",11,59,440,"1,379,559","3,133"
Arecibo,13,Mineria                                  ,21,2,*,*,*
Arecibo,13,"Electricidad, Agua y Gas                 ",22,4,509,"4,684,510","9,209"
Arecibo,13,Construcción                             ,23,52,529,"2,519,936","4,767"
Arecibo,13,Manufactura                              ,31-33,44,"2,800","23,081,851","8,244"
Arecibo,13,Alimentos                                ,311,21,362,"1,564,160","4,317"
Arecibo,13,Productos de Tabaco y Bebidas            ,312,1,*,*,*
Arecibo,13,Textiles                                 ,313,0,0,0,0
Arecibo,13,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Arecibo,13,Ropa                                     ,315,1,*,*,*
Arecibo,13,Cuero y Productos Relacionados           ,316,1,*,*,*
Arecibo,13,Productos de Madera                      ,321,0,0,0,0
Arecibo,13,Papel                                    ,322,1,*,*,*
Arecibo,13,Imprenta e Industrias Relacionadas       ,323,1,*,*,*
Arecibo,13,Productos de Petróleo y Carbón           ,324,0,0,0,0
Arecibo,13,Productos Químicos                       ,325,1,*,*,*
Arecibo,13,Productos de Goma y Plásticos            ,326,1,*,*,*
Arecibo,13,Productos Minerales no Metálicos         ,327,2,*,*,*
Arecibo,13,Industrias de Materiales Primarios       ,331,1,*,*,*
Arecibo,13,Productos de Metal                       ,332,5,14,"43,229","3,088"
Arecibo,13,Maquinaria                               ,333,1,*,*,*
Arecibo,13,Computadora y Productos Electrónicos    ,334,1,*,*,*
Arecibo,13,Equipo y Aparatos Eléctricos             ,335,2,*,*,*
Arecibo,13,Equipo de Transportación                 ,336,0,0,0,0
Arecibo,13,Muebles y Productos Relacionados         ,337,3,7,"50,339","7,191"
Arecibo,13,Industrias Manufactureras Misceláneas    ,339,1,*,*,*
Arecibo,13,Comercio al por Mayor                    ,42,43,209,"1,318,875","6,320"
Arecibo,13,Comercio al Detal                        ,44-45,239,"2,307","12,251,947","5,310"
Arecibo,13,Transportación y Almacenamiento           ,48-49,28,224,"2,377,194","10,628"
Arecibo,13,Información                              ,51,11,164,"1,015,439","6,192"
Arecibo,13,Finanzas y Seguros                       ,52,38,547,"4,313,522","7,886"
Arecibo,13,"Bienes Raíces, Renta o Arrendamiento     ",53,29,80,"655,457","8,193"
Arecibo,13,Servicios Profesionales y Técnicos       ,54,67,292,"2,393,721","8,188"
Arecibo,13,Gerencia de Companías y Empresas         ,55,2,*,*,*
Arecibo,13,Servicios Adm. y Desperdicios Sólidos    ,56,34,368,"1,996,369","5,425"
Arecibo,13,Servicios Educativos                     ,61,19,2786,19450699,6981
Arecibo,13,Servicios de Salud y Asistencia Social   ,62,250,"3,431","19,757,265","5,758"
Arecibo,13,"Arte, Entretenimiento y Recreación       ",71,6,49,"155,762","3,201"
Arecibo,13,Alojamiento y Servicios de Alimentos     ,72,98,"1,162","3,375,912","2,906"
Arecibo,13,Otros Servicios Excepto Adm. Pública     ,81,51,265,"993,083","3,752"
Arecibo,13,Administración Pública                   ,92,39,4186,31603893,7549
Arecibo,13,Otros (Establecimientos no Clasificados) ,99,0,0,0,0
Arroyo,15,Total Municipio Segundo Trimestre 2021 ,,108,"2,486","18,392,037","7,397"
Arroyo,15,"Agricultura, Bosque, Pesca y Caza        ",11,5,5,"7,236","1,447"
Arroyo,15,Mineria                                  ,21,0,0,0,0
Arroyo,15,"Electricidad, Agua y Gas                 ",22,0,0,0,0
Arroyo,15,Construcción                             ,23,7,34,"157,285","4,581"
Arroyo,15,Manufactura                              ,31-33,7,*,*,*
Arroyo,15,Alimentos                                ,311,0,0,0,0
Arroyo,15,Productos de Tabaco y Bebidas            ,312,0,0,0,0
Arroyo,15,Textiles                                 ,313,0,0,0,0
Arroyo,15,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Arroyo,15,Ropa                                     ,315,1,*,*,*
Arroyo,15,Cuero y Productos Relacionados           ,316,0,0,0,0
Arroyo,15,Productos de Madera                      ,321,0,0,0,0
Arroyo,15,Papel                                    ,322,0,0,0,0
Arroyo,15,Imprenta e Industrias Relacionadas       ,323,0,0,0,0
Arroyo,15,Productos de Petróleo y Carbón           ,324,0,0,0,0
Arroyo,15,Productos Químicos                       ,325,1,*,*,*
Arroyo,15,Productos de Goma y Plásticos            ,326,0,0,0,0
Arroyo,15,Productos Minerales no Metálicos         ,327,1,*,*,*
Arroyo,15,Industrias de Materiales Primarios       ,331,0,0,0,0
Arroyo,15,Productos de Metal                       ,332,1,*,*,*
Arroyo,15,Maquinaria                               ,333,1,*,*,*
Arroyo,15,Computadora y Productos Electrónicos    ,334,0,0,0,0
Arroyo,15,Equipo y Aparatos Eléctricos             ,335,1,*,*,*
Arroyo,15,Equipo de Transportación                 ,336,0,0,0,0
Arroyo,15,Muebles y Productos Relacionados         ,337,0,0,0,0
Arroyo,15,Industrias Manufactureras Misceláneas    ,339,1,*,*,*
Arroyo,15,Comercio al por Mayor                    ,42,0,0,0,0
Arroyo,15,Comercio al Detal                        ,44-45,23,464,"1,735,794","3,744"
Arroyo,15,Transportación y Almacenamiento           ,48-49,1,*,*,*
Arroyo,15,Información                              ,51,1,*,*,*
Arroyo,15,Finanzas y Seguros                       ,52,2,*,*,*
Arroyo,15,"Bienes Raíces, Renta o Arrendamiento     ",53,5,7,"39,292","5,358"
Arroyo,15,Servicios Profesionales y Técnicos       ,54,2,*,*,*
Arroyo,15,Gerencia de Companías y Empresas         ,55,0,0,0,0
Arroyo,15,Servicios Adm. y Desperdicios Sólidos    ,56,1,*,*,*
Arroyo,15,Servicios Educativos                     ,61,3,271,1745925,6435
Arroyo,15,Servicios de Salud y Asistencia Social   ,62,19,170,"1,251,438","7,361"
Arroyo,15,"Arte, Entretenimiento y Recreación       ",71,1,*,*,*
Arroyo,15,Alojamiento y Servicios de Alimentos     ,72,14,160,"522,587","3,273"
Arroyo,15,Otros Servicios Excepto Adm. Pública     ,81,7,15,"58,806","3,835"
Arroyo,15,Administración Pública                   ,92,10,433,2000849,4621
Arroyo,15,Otros (Establecimientos no Clasificados) ,99,0,0,0,0
Barceloneta,17,Total Municipio Segundo Trimestre 2021 ,,285,"10,309","79,536,778","7,715"
Barceloneta,17,"Agricultura, Bosque, Pesca y Caza        ",11,1,*,*,*
Barceloneta,17,Mineria                                  ,21,0,0,0,0
Barceloneta,17,"Electricidad, Agua y Gas                 ",22,1,*,*,*
Barceloneta,17,Construcción                             ,23,25,525,"2,728,015","5,196"
Barceloneta,17,Manufactura                              ,31-33,19,"2,845","37,950,957","13,338"
Barceloneta,17,Alimentos                                ,311,6,*,*,*
Barceloneta,17,Productos de Tabaco y Bebidas            ,312,1,*,*,*
Barceloneta,17,Textiles                                 ,313,0,0,0,0
Barceloneta,17,Productos Textiles Excepto Ropa          ,314,0,0,0,0
Barceloneta,17,Ropa                                     ,315,0,0,0,0
Barceloneta,17,Cuero y Productos Relacionados           ,316,0,0,0,0
Barceloneta,17,Productos de Madera                      ,321,0,0,0,0
Barceloneta,17,Papel                                    ,322,0,0,0,0
Barceloneta,17,Imprenta e Industrias Relacionadas       ,323,0,0,0,0
Barceloneta,17,Productos de Petróleo y Carbón           ,324,0,0,0,0
Barceloneta,17,Productos Químicos                       ,325,6,"1,383","27,033,676","19,552"
Barceloneta,17,Productos de Goma y Plásticos            ,326,1,*,*,*
Barceloneta,17,Productos Minerales no Metálicos         ,327,0,0,0,0
Barceloneta,17,Industrias de Materiales Primarios       ,331,1,*,*,*
Barceloneta,17,Productos de Metal                       ,332,1,*,*,*
Barceloneta,17,Maquinaria                               ,333,1,*,*,*
Barceloneta,17,Computadora y Productos Electrónicos    ,334,1,*,*,*
Barceloneta,17,Equipo y Aparatos Eléctricos             ,335,0,0,0,0
Barceloneta,17,Equipo de Transportación                 ,336,0,0,0,0
Barceloneta,17,Muebles y Productos Relacionados         ,337,1,*,*,*
Barceloneta,17,Industrias Manufactureras Misceláneas    ,339,0,0,0,0
Barceloneta,17,Comercio al por Mayor                    ,42,12,302,"5,453,337","18,057"
Barceloneta,17,Comercio al Detal                        ,44-45,79,"2,068","10,166,607","4,915"
Barceloneta,17,Transportación y Almacenamiento           ,48-49,4,35,"349,862","9,996"
Barceloneta,17,Información                              ,51,3,57,"323,028","5,667"
Barceloneta,17,Finanzas y Seguros                       ,52,8,53,"310,258","5,891"
Barceloneta,17,"Bienes Raíces, Renta o Arrendamiento     ",53,6,56,"349,467","6,240"
Barceloneta,17,Servicios Profesionales y Técnicos       ,54,12,75,"556,971","7,393"
Barceloneta,17,Gerencia de Companías y Empresas         ,55,0,0,0,0
Barceloneta,17,Servicios Adm. y Desperdicios Sólidos    ,56,6,"1,431","7,250,770","5,068"
