MUNICIPIO,CTY,INDUSTRIA,NAICS,UNIDADES, EMPLEO PROMEDIO , SALRIO Total Municipio Tercer  Trimestre 2021 , Promedio 
Aguas Buenas,7,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Aguas Buenas,7,Productos de Metal                       ,332,2, * , * , * 
Aguas Buenas,7,Maquinaria                               ,333,0, -   , -   , -   
Aguas Buenas,7,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Aguas Buenas,7,Equipo y Aparatos Eléctricos             ,335,0, -   , -   , -   
Aguas Buenas,7,Equipo de Transportación                 ,336,0, -   , -   , -   
Aguas Buenas,7,Muebles y Productos Relacionados         ,337,0, -   , -   , -   
Aguas Buenas,7,Industrias Manufactureras Misceláneas    ,339,0, -   , -   , -   
Aguas Buenas,7,Comercio al por Mayor                    ,42,9, 26 ," 176,542 "," 6,790 "
Aguas Buenas,7,Comercio al Detal                        ,44-45,32, 310 ," 1,656,088 "," 5,336 "
Aguas Buenas,7,Transportación y Almacenamiento           ,48-49,3, 11 ," 123,601 "," 11,236 "
Aguas Buenas,7,Información                              ,51,0, -   , -   , -   
Aguas Buenas,7,Finanzas y Seguros                       ,52,3, 49 ," 440,918 "," 8,938 "
Aguas Buenas,7,"Bienes Raíces, Renta o Arrendamiento     ",53,5, 18 ," 58,990 "," 3,339 "
Aguas Buenas,7,Servicios Profesionales y Técnicos       ,54,6, 21 ," 109,872 "," 5,232 "
Aguas Buenas,7,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Aguas Buenas,7,Servicios Adm. y Desperdicios Sólidos    ,56,2, * , * , * 
Aguas Buenas,7,Servicios Educativos                     ,61,3, 300 ," 1,949,158 "," 6,497 "
Aguas Buenas,7,Servicios de Salud y Asistencia Social   ,62,24, 107 ," 666,955 "," 6,233 "
Aguas Buenas,7,"Arte, Entretenimiento y Recreación       ",71,2, * , * , * 
Aguas Buenas,7,Alojamiento y Servicios de Alimentos     ,72,12, 99 ," 317,990 "," 3,201 "
Aguas Buenas,7,Otros Servicios Excepto Adm. Pública     ,81,7, 15 ," 69,600 "," 4,640 "
Aguas Buenas,7,Administración Pública                   ,92,10, 356 ," 1,695,657 "," 4,759 "
Aguas Buenas,7,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Aibonito,9,Total Municipio Tercer Trimestre 2021 ,,331," 5,829 "," 40,875,147 "," 7,012 "
Aibonito,9,"Agricultura, Bosque, Pesca y Caza        ",11,28, 180 ," 642,447 "," 3,563 "
Aibonito,9,Mineria                                  ,21,0, -   , -   , -   
Aibonito,9,"Electricidad, Agua y Gas                 ",22,3, 17 ," 154,355 "," 9,261 "
Aibonito,9,Construcción                             ,23,12, 43 ," 206,273 "," 4,797 "
Aibonito,9,Manufactura                              ,31-33,24," 1,442 "," 12,732,212 "," 8,828 "
Aibonito,9,Alimentos                                ,311,13, * , * , * 
Aibonito,9,Productos de Tabaco y Bebidas            ,312,2, * , * , * 
Aibonito,9,Textiles                                 ,313,0, -   , -   , -   
Aibonito,9,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Aibonito,9,Ropa                                     ,315,1, * , * , * 
Aibonito,9,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Aibonito,9,Productos de Madera                      ,321,0, -   , -   , -   
Aibonito,9,Papel                                    ,322,0, -   , -   , -   
Aibonito,9,Imprenta e Industrias Relacionadas       ,323,1, * , * , * 
Aibonito,9,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Aibonito,9,Productos Químicos                       ,325,1, * , * , * 
Aibonito,9,Productos de Goma y Plásticos            ,326,0, -   , -   , -   
Aibonito,9,Productos Minerales no Metálicos         ,327,1, * , * , * 
Aibonito,9,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Aibonito,9,Productos de Metal                       ,332,0, -   , -   , -   
Aibonito,9,Maquinaria                               ,333,0, -   , -   , -   
Aibonito,9,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Aibonito,9,Equipo y Aparatos Eléctricos             ,335,1, * , * , * 
Aibonito,9,Equipo de Transportación                 ,336,1, * , * , * 
Aibonito,9,Muebles y Productos Relacionados         ,337,2, * , * , * 
Aibonito,9,Industrias Manufactureras Misceláneas    ,339,1, * , * , * 
Aibonito,9,Comercio al por Mayor                    ,42,10, 55 ," 322,171 "," 5,893 "
Aibonito,9,Comercio al Detal                        ,44-45,80, 680 ," 2,872,286 "," 4,224 "
Aibonito,9,Transportación y Almacenamiento           ,48-49,7, 64 ," 433,336 "," 6,736 "
Aibonito,9,Información                              ,51,1, * , * , * 
Aibonito,9,Finanzas y Seguros                       ,52,9, 162 ," 1,418,975 "," 8,759 "
Aibonito,9,"Bienes Raíces, Renta o Arrendamiento     ",53,2, * , * , * 
Aibonito,9,Servicios Profesionales y Técnicos       ,54,21, 63 ," 400,670 "," 6,394 "
Aibonito,9,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Aibonito,9,Servicios Adm. y Desperdicios Sólidos    ,56,6, * , * , * 
Aibonito,9,Servicios Educativos                     ,61,3, 407 ," 2,697,296 "," 6,622 "
Aibonito,9,Servicios de Salud y Asistencia Social   ,62,63," 1,541 "," 12,921,541 "," 8,383 "
Aibonito,9,"Arte, Entretenimiento y Recreación       ",71,1, * , * , * 
Aibonito,9,Alojamiento y Servicios de Alimentos     ,72,29, 309 ," 914,119 "," 2,962 "
Aibonito,9,Otros Servicios Excepto Adm. Pública     ,81,17, 46 ," 163,149 "," 3,547 "
Aibonito,9,Administración Pública                   ,92,15, 710 ," 4,528,118 "," 6,375 "
Aibonito,9,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Añasco,11,Total Municipio Tercer Trimestre 2021 ,,268," 5,159 "," 37,406,357 "," 7,250 "
Añasco,11,"Agricultura, Bosque, Pesca y Caza        ",11,13, 30 ," 67,130 "," 2,213 "
Añasco,11,Mineria                                  ,21,1, * , * , * 
Añasco,11,"Electricidad, Agua y Gas                 ",22,1, * , * , * 
Añasco,11,Construcción                             ,23,12, 56 ," 278,065 "," 4,936 "
Añasco,11,Manufactura                              ,31-33,29," 2,642 "," 25,441,539 "," 9,628 "
Añasco,11,Alimentos                                ,311,9, 48 ," 104,125 "," 2,184 "
Añasco,11,Productos de Tabaco y Bebidas            ,312,0, -   , -   , -   
Añasco,11,Textiles                                 ,313,0, -   , -   , -   
Añasco,11,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Añasco,11,Ropa                                     ,315,0, -   , -   , -   
Añasco,11,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Añasco,11,Productos de Madera                      ,321,0, -   , -   , -   
Añasco,11,Papel                                    ,322,0, -   , -   , -   
Añasco,11,Imprenta e Industrias Relacionadas       ,323,2, * , * , * 
Añasco,11,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Añasco,11,Productos Químicos                       ,325,0, -   , -   , -   
Añasco,11,Productos de Goma y Plásticos            ,326,1, * , * , * 
Añasco,11,Productos Minerales no Metálicos         ,327,0, -   , -   , -   
Añasco,11,Industrias de Materiales Primarios       ,331,1, * , * , * 
Añasco,11,Productos de Metal                       ,332,6, 52 ," 209,054 "," 4,020 "
Añasco,11,Maquinaria                               ,333,0, -   , -   , -   
Añasco,11,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Añasco,11,Equipo y Aparatos Eléctricos             ,335,1, * , * , * 
Añasco,11,Equipo de Transportación                 ,336,0, -   , -   , -   
Añasco,11,Muebles y Productos Relacionados         ,337,2, * , * , * 
Añasco,11,Industrias Manufactureras Misceláneas    ,339,7," 2,310 "," 23,217,581 "," 10,051 "
Añasco,11,Comercio al por Mayor                    ,42,8, 86 ," 641,163 "," 7,484 "
Añasco,11,Comercio al Detal                        ,44-45,47, 500 ," 2,095,458 "," 4,191 "
Añasco,11,Transportación y Almacenamiento           ,48-49,2, * , * , * 
Añasco,11,Información                              ,51,2, * , * , * 
Añasco,11,Finanzas y Seguros                       ,52,3, * , * , * 
Añasco,11,"Bienes Raíces, Renta o Arrendamiento     ",53,9, 20 ," 93,448 "," 4,672 "
Añasco,11,Servicios Profesionales y Técnicos       ,54,12, 29 ," 271,434 "," 9,360 "
Añasco,11,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Añasco,11,Servicios Adm. y Desperdicios Sólidos    ,56,4, 7 ," 37,614 "," 5,129 "
Añasco,11,Servicios Educativos                     ,61,4, 344 ," 2,021,042 "," 5,881 "
Añasco,11,Servicios de Salud y Asistencia Social   ,62,46, 246 ," 1,088,073 "," 4,429 "
Añasco,11,"Arte, Entretenimiento y Recreación       ",71,2, * , * , * 
Añasco,11,Alojamiento y Servicios de Alimentos     ,72,35, 463 ," 1,574,799 "," 3,399 "
Añasco,11,Otros Servicios Excepto Adm. Pública     ,81,26, 70 ," 240,971 "," 3,459 "
Añasco,11,Administración Pública                   ,92,12, 499 ," 2,140,314 "," 4,292 "
Añasco,11,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Arecibo,13,Total Municipio Tercer Trimestre 2021 ,,"1,121"," 20,681 "," 138,823,399 "," 6,712 "
Arecibo,13,"Agricultura, Bosque, Pesca y Caza        ",11,58, 438 ," 1,400,457 "," 3,197 "
Arecibo,13,Mineria                                  ,21,2, * , * , * 
Arecibo,13,"Electricidad, Agua y Gas                 ",22,4, 539 ," 6,269,989 "," 11,625 "
Arecibo,13,Construcción                             ,23,52, 515 ," 2,890,218 "," 5,608 "
Arecibo,13,Manufactura                              ,31-33,46," 2,876 "," 23,637,622 "," 8,219 "
Arecibo,13,Alimentos                                ,311,21, 351 ," 1,572,136 "," 4,479 "
Arecibo,13,Productos de Tabaco y Bebidas            ,312,1, * , * , * 
Arecibo,13,Textiles                                 ,313,0, -   , -   , -   
Arecibo,13,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Arecibo,13,Ropa                                     ,315,1, * , * , * 
Arecibo,13,Cuero y Productos Relacionados           ,316,1, * , * , * 
Arecibo,13,Productos de Madera                      ,321,0, -   , -   , -   
Arecibo,13,Papel                                    ,322,1, * , * , * 
Arecibo,13,Imprenta e Industrias Relacionadas       ,323,1, * , * , * 
Arecibo,13,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Arecibo,13,Productos Químicos                       ,325,1, * , * , * 
Arecibo,13,Productos de Goma y Plásticos            ,326,1, * , * , * 
Arecibo,13,Productos Minerales no Metálicos         ,327,2, * , * , * 
Arecibo,13,Industrias de Materiales Primarios       ,331,2, * , * , * 
Arecibo,13,Productos de Metal                       ,332,5, 13 ," 44,802 "," 3,360 "
Arecibo,13,Maquinaria                               ,333,1, * , * , * 
Arecibo,13,Computadora y Productos Electrónicos    ,334,1, * , * , * 
Arecibo,13,Equipo y Aparatos Eléctricos             ,335,3, * , * , * 
Arecibo,13,Equipo de Transportación                 ,336,0, -   , -   , -   
Arecibo,13,Muebles y Productos Relacionados         ,337,3, 7 ," 87,468 "," 11,927 "
Arecibo,13,Industrias Manufactureras Misceláneas    ,339,1, * , * , * 
Arecibo,13,Comercio al por Mayor                    ,42,43, 214 ," 1,222,276 "," 5,712 "
Arecibo,13,Comercio al Detal                        ,44-45,244," 2,307 "," 12,581,502 "," 5,453 "
Arecibo,13,Transportación y Almacenamiento           ,48-49,30, 255 ," 2,240,874 "," 8,776 "
Arecibo,13,Información                              ,51,11, 175 ," 1,231,563 "," 7,038 "
Arecibo,13,Finanzas y Seguros                       ,52,38, 543 ," 4,180,885 "," 7,700 "
Arecibo,13,"Bienes Raíces, Renta o Arrendamiento     ",53,29, 78 ," 714,587 "," 9,122 "
Arecibo,13,Servicios Profesionales y Técnicos       ,54,64, 299 ," 2,686,164 "," 8,994 "
Arecibo,13,Gerencia de Companías y Empresas         ,55,2, * , * , * 
Arecibo,13,Servicios Adm. y Desperdicios Sólidos    ,56,34, 354 ," 2,064,350 "," 5,831 "
Arecibo,13,Servicios Educativos                     ,61,20," 2,707 "," 18,342,878 "," 6,776 "
Arecibo,13,Servicios de Salud y Asistencia Social   ,62,246," 3,467 "," 20,661,878 "," 5,960 "
Arecibo,13,"Arte, Entretenimiento y Recreación       ",71,6, 43 ," 140,104 "," 3,258 "
Arecibo,13,Alojamiento y Servicios de Alimentos     ,72,100," 1,216 "," 3,806,298 "," 3,129 "
Arecibo,13,Otros Servicios Excepto Adm. Pública     ,81,52, 290 ," 1,126,951 "," 3,891 "
Arecibo,13,Administración Pública                   ,92,39," 4,262 "," 33,210,502 "," 7,793 "
Arecibo,13,Otros (Establecimientos no Clasificados) ,99,1, * , * , * 
Arroyo,15,Total Municipio Tercer Trimestre 2021 ,,105," 2,481 "," 16,644,285 "," 6,708 "
Arroyo,15,"Agricultura, Bosque, Pesca y Caza        ",11,5, 5 ," 6,550 "," 1,310 "
Arroyo,15,Mineria                                  ,21,0, -   , -   , -   
Arroyo,15,"Electricidad, Agua y Gas                 ",22,0, -   , -   , -   
Arroyo,15,Construcción                             ,23,7, 36 ," 159,808 "," 4,481 "
Arroyo,15,Manufactura                              ,31-33,7, * , * , * 
Arroyo,15,Alimentos                                ,311,0, -   , -   , -   
Arroyo,15,Productos de Tabaco y Bebidas            ,312,0, -   , -   , -   
Arroyo,15,Textiles                                 ,313,0, -   , -   , -   
Arroyo,15,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Arroyo,15,Ropa                                     ,315,1, * , * , * 
Arroyo,15,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Arroyo,15,Productos de Madera                      ,321,0, -   , -   , -   
Arroyo,15,Papel                                    ,322,0, -   , -   , -   
Arroyo,15,Imprenta e Industrias Relacionadas       ,323,0, -   , -   , -   
Arroyo,15,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Arroyo,15,Productos Químicos                       ,325,1, * , * , * 
Arroyo,15,Productos de Goma y Plásticos            ,326,0, -   , -   , -   
Arroyo,15,Productos Minerales no Metálicos         ,327,1, * , * , * 
Arroyo,15,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Arroyo,15,Productos de Metal                       ,332,1, * , * , * 
Arroyo,15,Maquinaria                               ,333,1, * , * , * 
Arroyo,15,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Arroyo,15,Equipo y Aparatos Eléctricos             ,335,1, * , * , * 
Arroyo,15,Equipo de Transportación                 ,336,0, -   , -   , -   
Arroyo,15,Muebles y Productos Relacionados         ,337,0, -   , -   , -   
Arroyo,15,Industrias Manufactureras Misceláneas    ,339,1, * , * , * 
Arroyo,15,Comercio al por Mayor                    ,42,0, -   , -   , -   
Arroyo,15,Comercio al Detal                        ,44-45,22, 454 ," 1,736,815 "," 3,823 "
Arroyo,15,Transportación y Almacenamiento           ,48-49,1, * , * , * 
Arroyo,15,Información                              ,51,1, * , * , * 
Arroyo,15,Finanzas y Seguros                       ,52,2, * , * , * 
Arroyo,15,"Bienes Raíces, Renta o Arrendamiento     ",53,5, 6 ," 35,404 "," 5,901 "
Arroyo,15,Servicios Profesionales y Técnicos       ,54,1, * , * , * 
Arroyo,15,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Arroyo,15,Servicios Adm. y Desperdicios Sólidos    ,56,1, * , * , * 
Arroyo,15,Servicios Educativos                     ,61,3, 237 ," 1,580,033 "," 6,676 "
Arroyo,15,Servicios de Salud y Asistencia Social   ,62,19, 188 ," 1,253,866 "," 6,658 "
Arroyo,15,"Arte, Entretenimiento y Recreación       ",71,0, -   , -   , -   
Arroyo,15,Alojamiento y Servicios de Alimentos     ,72,15, 164 ," 549,439 "," 3,357 "
