MUNICIPIO,CTY,INDUSTRIA,NAICS,UNIDADES, EMPLEO PROMEDIO , SALRIO Total Municipio Primer Trimestre 2021 , Promedio 
Adjuntas,1,Servicios Educativos                     ,61,2, 250 ," 1,609,338 "," 6,446 "
Adjuntas,1,Servicios de Salud y Asistencia Social   ,62,26, 204 ," 1,104,945 "," 5,425 "
Adjuntas,1,"Arte, Entretenimiento y Recreación       ",71,0, -   , -   , -   
Adjuntas,1,Alojamiento y Servicios de Alimentos     ,72,16, 96 ," 202,120 "," 2,098 "
Adjuntas,1,Otros Servicios Excepto Adm. Pública     ,81,4, 8 ," 27,508 "," 3,439 "
Adjuntas,1,Administración Pública                   ,92,10, 256 ," 1,223,062 "," 4,771 "
Adjuntas,1,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Aguada,3,Total Municipio Primer Trimestre 2021 ,,537," 4,207 "," 20,543,518 "," 4,883 "
Aguada,3,"Agricultura, Bosque, Pesca y Caza        ",11,16, 39 ," 90,934 "," 2,312 "
Aguada,3,Mineria                                  ,21,2, * , * , * 
Aguada,3,"Electricidad, Agua y Gas                 ",22,1, * , * , * 
Aguada,3,Construcción                             ,23,39, 320 ," 1,314,951 "," 4,114 "
Aguada,3,Manufactura                              ,31-33,29, 194 ," 628,916 "," 3,236 "
Aguada,3,Alimentos                                ,311,15, 105 ," 317,877 "," 3,027 "
Aguada,3,Productos de Tabaco y Bebidas            ,312,1, * , * , * 
Aguada,3,Textiles                                 ,313,0, -   , -   , -   
Aguada,3,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Aguada,3,Ropa                                     ,315,1, * , * , * 
Aguada,3,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Aguada,3,Productos de Madera                      ,321,0, -   , -   , -   
Aguada,3,Papel                                    ,322,0, -   , -   , -   
Aguada,3,Imprenta e Industrias Relacionadas       ,323,3, 6 ," 17,432 "," 2,905 "
Aguada,3,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Aguada,3,Productos Químicos                       ,325,0, -   , -   , -   
Aguada,3,Productos de Goma y Plásticos            ,326,1, * , * , * 
Aguada,3,Productos Minerales no Metálicos         ,327,2, * , * , * 
Aguada,3,Industrias de Materiales Primarios       ,331,1, * , * , * 
Aguada,3,Productos de Metal                       ,332,2, * , * , * 
Aguada,3,Maquinaria                               ,333,0, -   , -   , -   
Aguada,3,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Aguada,3,Equipo y Aparatos Eléctricos             ,335,0, -   , -   , -   
Aguada,3,Equipo de Transportación                 ,336,0, -   , -   , -   
Aguada,3,Muebles y Productos Relacionados         ,337,2, * , * , * 
Aguada,3,Industrias Manufactureras Misceláneas    ,339,1, * , * , * 
Aguada,3,Comercio al por Mayor                    ,42,12, 38 ," 159,678 "," 4,166 "
Aguada,3,Comercio al Detal                        ,44-45,150, 992 ," 3,781,480 "," 3,811 "
Aguada,3,Transportación y Almacenamiento           ,48-49,7, 33 ," 267,252 "," 8,099 "
Aguada,3,Información                              ,51,2, * , * , * 
Aguada,3,Finanzas y Seguros                       ,52,12, 104 ," 613,847 "," 5,902 "
Aguada,3,"Bienes Raíces, Renta o Arrendamiento     ",53,9, 43 ," 114,054 "," 2,652 "
Aguada,3,Servicios Profesionales y Técnicos       ,54,33, 108 ," 889,105 "," 8,258 "
Aguada,3,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Aguada,3,Servicios Adm. y Desperdicios Sólidos    ,56,16, 193 ," 592,752 "," 3,077 "
Aguada,3,Servicios Educativos                     ,61,11, 666 ," 4,276,134 "," 6,421 "
Aguada,3,Servicios de Salud y Asistencia Social   ,62,83, 349 ," 1,802,036 "," 5,163 "
Aguada,3,"Arte, Entretenimiento y Recreación       ",71,3, * , * , * 
Aguada,3,Alojamiento y Servicios de Alimentos     ,72,63, 466 ," 1,308,328 "," 2,810 "
Aguada,3,Otros Servicios Excepto Adm. Pública     ,81,36, 85 ," 336,024 "," 3,969 "
Aguada,3,Administración Pública                   ,92,13, 526 ," 4,245,093 "," 8,076 "
Aguada,3,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Aguadilla,5,Total Municipio Primer Trimestre 2021 ,,901," 17,661 "," 136,944,919 "," 7,754 "
Aguadilla,5,"Agricultura, Bosque, Pesca y Caza        ",11,13, 54 ," 138,006 "," 2,540 "
Aguadilla,5,Mineria                                  ,21,1, * , * , * 
Aguadilla,5,"Electricidad, Agua y Gas                 ",22,2, * , * , * 
Aguadilla,5,Construcción                             ,23,29, 437 ," 2,119,832 "," 4,847 "
Aguadilla,5,Manufactura                              ,31-33,46," 1,232 "," 13,046,510 "," 10,593 "
Aguadilla,5,Alimentos                                ,311,20, 355 ," 1,953,265 "," 5,507 "
Aguadilla,5,Productos de Tabaco y Bebidas            ,312,1, * , * , * 
Aguadilla,5,Textiles                                 ,313,0, -   , -   , -   
Aguadilla,5,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Aguadilla,5,Ropa                                     ,315,0, -   , -   , -   
Aguadilla,5,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Aguadilla,5,Productos de Madera                      ,321,1, * , * , * 
Aguadilla,5,Papel                                    ,322,0, -   , -   , -   
Aguadilla,5,Imprenta e Industrias Relacionadas       ,323,0, -   , -   , -   
Aguadilla,5,Productos de Petróleo y Carbón           ,324,1, * , * , * 
Aguadilla,5,Productos Químicos                       ,325,0, -   , -   , -   
Aguadilla,5,Productos de Goma y Plásticos            ,326,1, * , * , * 
Aguadilla,5,Productos Minerales no Metálicos         ,327,3, 24 ," 86,454 "," 3,553 "
Aguadilla,5,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Aguadilla,5,Productos de Metal                       ,332,3, 10 ," 33,461 "," 3,461 "
Aguadilla,5,Maquinaria                               ,333,2, * , * , * 
Aguadilla,5,Computadora y Productos Electrónicos    ,334,2, * , * , * 
Aguadilla,5,Equipo y Aparatos Eléctricos             ,335,2, * , * , * 
Aguadilla,5,Equipo de Transportación                 ,336,0, -   , -   , -   
Aguadilla,5,Muebles y Productos Relacionados         ,337,4, 7 ," 8,337 "," 1,137 "
Aguadilla,5,Industrias Manufactureras Misceláneas    ,339,6, 90 ," 790,058 "," 8,746 "
Aguadilla,5,Comercio al por Mayor                    ,42,25, 539 ," 6,510,753 "," 12,087 "
Aguadilla,5,Comercio al Detal                        ,44-45,202," 2,644 "," 10,776,396 "," 4,075 "
Aguadilla,5,Transportación y Almacenamiento           ,48-49,29, 541 ," 5,042,831 "," 9,316 "
Aguadilla,5,Información                              ,51,12, 279 ," 2,159,348 "," 7,749 "
Aguadilla,5,Finanzas y Seguros                       ,52,28, 294 ," 2,755,210 "," 9,361 "
Aguadilla,5,"Bienes Raíces, Renta o Arrendamiento     ",53,36, 242 ," 1,048,019 "," 4,325 "
Aguadilla,5,Servicios Profesionales y Técnicos       ,54,82," 2,254 "," 28,076,862 "," 12,456 "
Aguadilla,5,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Aguadilla,5,Servicios Adm. y Desperdicios Sólidos    ,56,24, * , * , * 
Aguadilla,5,Servicios Educativos                     ,61,20," 1,670 "," 12,029,098 "," 7,202 "
Aguadilla,5,Servicios de Salud y Asistencia Social   ,62,162," 1,571 "," 9,281,567 "," 5,909 "
Aguadilla,5,"Arte, Entretenimiento y Recreación       ",71,9, 104 ," 345,170 "," 3,319 "
Aguadilla,5,Alojamiento y Servicios de Alimentos     ,72,101," 1,326 "," 3,868,805 "," 2,917 "
Aguadilla,5,Otros Servicios Excepto Adm. Pública     ,81,49, 165 ," 621,134 "," 3,772 "
Aguadilla,5,Administración Pública                   ,92,31," 3,454 "," 34,015,504 "," 9,848 "
Aguadilla,5,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Aguas Buenas,7,Total Municipio Primer Trimestre 2021 ,,147," 1,612 "," 8,205,436 "," 5,090 "
Aguas Buenas,7,"Agricultura, Bosque, Pesca y Caza        ",11,4, 46 ," 104,606 "," 2,274 "
Aguas Buenas,7,Mineria                                  ,21,0, -   , -   , -   
Aguas Buenas,7,"Electricidad, Agua y Gas                 ",22,1, * , * , * 
Aguas Buenas,7,Construcción                             ,23,12, 118 ," 666,324 "," 5,631 "
Aguas Buenas,7,Manufactura                              ,31-33,9, 81 ," 331,824 "," 4,080 "
Aguas Buenas,7,Alimentos                                ,311,4, 36 ," 147,528 "," 4,136 "
Aguas Buenas,7,Productos de Tabaco y Bebidas            ,312,0, -   , -   , -   
Aguas Buenas,7,Textiles                                 ,313,0, -   , -   , -   
Aguas Buenas,7,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Aguas Buenas,7,Ropa                                     ,315,1, * , * , * 
Aguas Buenas,7,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Aguas Buenas,7,Productos de Madera                      ,321,0, -   , -   , -   
Aguas Buenas,7,Papel                                    ,322,0, -   , -   , -   
Aguas Buenas,7,Imprenta e Industrias Relacionadas       ,323,1, * , * , * 
Aguas Buenas,7,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Aguas Buenas,7,Productos Químicos                       ,325,0, -   , -   , -   
Aguas Buenas,7,Productos de Goma y Plásticos            ,326,0, -   , -   , -   
Aguas Buenas,7,Productos Minerales no Metálicos         ,327,1, * , * , * 
Aguas Buenas,7,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Aguas Buenas,7,Productos de Metal                       ,332,2, * , * , * 
Aguas Buenas,7,Maquinaria                               ,333,0, -   , -   , -   
Aguas Buenas,7,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Aguas Buenas,7,Equipo y Aparatos Eléctricos             ,335,0, -   , -   , -   
Aguas Buenas,7,Equipo de Transportación                 ,336,0, -   , -   , -   
Aguas Buenas,7,Muebles y Productos Relacionados         ,337,0, -   , -   , -   
Aguas Buenas,7,Industrias Manufactureras Misceláneas    ,339,0, -   , -   , -   
Aguas Buenas,7,Comercio al por Mayor                    ,42,8, 27 ," 167,354 "," 6,198 "
Aguas Buenas,7,Comercio al Detal                        ,44-45,32, 303 ," 1,407,798 "," 4,651 "
Aguas Buenas,7,Transportación y Almacenamiento           ,48-49,6, 14 ," 155,381 "," 10,841 "
Aguas Buenas,7,Información                              ,51,0, -   , -   , -   
Aguas Buenas,7,Finanzas y Seguros                       ,52,3, 49 ," 375,567 "," 7,665 "
Aguas Buenas,7,"Bienes Raíces, Renta o Arrendamiento     ",53,5, 16 ," 52,871 "," 3,304 "
Aguas Buenas,7,Servicios Profesionales y Técnicos       ,54,7, 22 ," 165,493 "," 7,522 "
Aguas Buenas,7,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Aguas Buenas,7,Servicios Adm. y Desperdicios Sólidos    ,56,3, 22 ," 89,585 "," 4,072 "
Aguas Buenas,7,Servicios Educativos                     ,61,3, 332 ," 2,182,864 "," 6,581 "
Aguas Buenas,7,Servicios de Salud y Asistencia Social   ,62,24, 101 ," 556,787 "," 5,513 "
Aguas Buenas,7,"Arte, Entretenimiento y Recreación       ",71,3, * , * , * 
Aguas Buenas,7,Alojamiento y Servicios de Alimentos     ,72,11, 80 ," 233,549 "," 2,907 "
Aguas Buenas,7,Otros Servicios Excepto Adm. Pública     ,81,6, 16 ," 54,722 "," 3,420 "
Aguas Buenas,7,Administración Pública                   ,92,10, 366 ," 1,548,500 "," 4,227 "
Aguas Buenas,7,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Aibonito,9,Total Municipio Primer Trimestre 2021 ,,324," 5,699 "," 36,393,000 "," 6,386 "
Aibonito,9,"Agricultura, Bosque, Pesca y Caza        ",11,26, 161 ," 561,659 "," 3,496 "
Aibonito,9,Mineria                                  ,21,0, -   , -   , -   
Aibonito,9,"Electricidad, Agua y Gas                 ",22,3, 12 ," 102,863 "," 8,572 "
Aibonito,9,Construcción                             ,23,12, 50 ," 178,123 "," 3,562 "
Aibonito,9,Manufactura                              ,31-33,25," 1,416 "," 11,239,204 "," 7,937 "
Aibonito,9,Alimentos                                ,311,14, * , * , * 
Aibonito,9,Productos de Tabaco y Bebidas            ,312,2, * , * , * 
Aibonito,9,Textiles                                 ,313,0, -   , -   , -   
Aibonito,9,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Aibonito,9,Ropa                                     ,315,1, * , * , * 
Aibonito,9,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Aibonito,9,Productos de Madera                      ,321,0, -   , -   , -   
Aibonito,9,Papel                                    ,322,0, -   , -   , -   
Aibonito,9,Imprenta e Industrias Relacionadas       ,323,1, * , * , * 
Aibonito,9,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Aibonito,9,Productos Químicos                       ,325,1, * , * , * 
Aibonito,9,Productos de Goma y Plásticos            ,326,0, -   , -   , -   
Aibonito,9,Productos Minerales no Metálicos         ,327,1, * , * , * 
Aibonito,9,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Aibonito,9,Productos de Metal                       ,332,0, -   , -   , -   
Aibonito,9,Maquinaria                               ,333,0, -   , -   , -   
Aibonito,9,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Aibonito,9,Equipo y Aparatos Eléctricos             ,335,1, * , * , * 
Aibonito,9,Equipo de Transportación                 ,336,1, * , * , * 
Aibonito,9,Muebles y Productos Relacionados         ,337,2, * , * , * 
Aibonito,9,Industrias Manufactureras Misceláneas    ,339,1, * , * , * 
Aibonito,9,Comercio al por Mayor                    ,42,10, 64 ," 358,717 "," 5,634 "
Aibonito,9,Comercio al Detal                        ,44-45,73, 650 ," 2,684,546 "," 4,132 "
Aibonito,9,Transportación y Almacenamiento           ,48-49,7, 57 ," 345,323 "," 6,058 "
Aibonito,9,Información                              ,51,0, -   , -   , -   
Aibonito,9,Finanzas y Seguros                       ,52,9, 158 ," 1,309,441 "," 8,305 "
Aibonito,9,"Bienes Raíces, Renta o Arrendamiento     ",53,3, 9 ," 44,091 "," 5,087 "
Aibonito,9,Servicios Profesionales y Técnicos       ,54,20, 59 ," 366,546 "," 6,248 "
Aibonito,9,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Aibonito,9,Servicios Adm. y Desperdicios Sólidos    ,56,6, * , * , * 
Aibonito,9,Servicios Educativos                     ,61,3, 446 ," 2,932,795 "," 6,581 "
Aibonito,9,Servicios de Salud y Asistencia Social   ,62,61," 1,494 "," 10,487,020 "," 7,018 "
Aibonito,9,"Arte, Entretenimiento y Recreación       ",71,1, * , * , * 
Aibonito,9,Alojamiento y Servicios de Alimentos     ,72,33, 286 ," 765,520 "," 2,680 "
Aibonito,9,Otros Servicios Excepto Adm. Pública     ,81,16, 42 ," 143,252 "," 3,384 "
Aibonito,9,Administración Pública                   ,92,15, 702 ," 4,484,713 "," 6,392 "
Aibonito,9,Otros (Establecimientos no Clasificados) ,99,1, * , * , * 
Añasco,11,Total Municipio Primer Trimestre 2021 ,,268," 4,787 "," 37,109,499 "," 7,752 "
Añasco,11,"Agricultura, Bosque, Pesca y Caza        ",11,11, 29 ," 55,071 "," 1,921 "
Añasco,11,Mineria                                  ,21,1, * , * , * 
Añasco,11,"Electricidad, Agua y Gas                 ",22,1, * , * , * 
Añasco,11,Construcción                             ,23,11, 51 ," 224,480 "," 4,373 "
Añasco,11,Manufactura                              ,31-33,28," 2,361 "," 25,974,492 "," 11,000 "
Añasco,11,Alimentos                                ,311,9, 49 ," 101,670 "," 2,075 "
Añasco,11,Productos de Tabaco y Bebidas            ,312,0, -   , -   , -   
Añasco,11,Textiles                                 ,313,0, -   , -   , -   
Añasco,11,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Añasco,11,Ropa                                     ,315,0, -   , -   , -   
Añasco,11,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Añasco,11,Productos de Madera                      ,321,0, -   , -   , -   
Añasco,11,Papel                                    ,322,0, -   , -   , -   
Añasco,11,Imprenta e Industrias Relacionadas       ,323,2, * , * , * 
Añasco,11,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Añasco,11,Productos Químicos                       ,325,0, -   , -   , -   
Añasco,11,Productos de Goma y Plásticos            ,326,1, * , * , * 
Añasco,11,Productos Minerales no Metálicos         ,327,0, -   , -   , -   
Añasco,11,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Añasco,11,Productos de Metal                       ,332,6, 48 ," 167,946 "," 3,499 "
Añasco,11,Maquinaria                               ,333,0, -   , -   , -   
Añasco,11,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Añasco,11,Equipo y Aparatos Eléctricos             ,335,1, * , * , * 
Añasco,11,Equipo de Transportación                 ,336,0, -   , -   , -   
Añasco,11,Muebles y Productos Relacionados         ,337,2, * , * , * 
Añasco,11,Industrias Manufactureras Misceláneas    ,339,7," 2,044 "," 24,161,139 "," 11,822 "
Añasco,11,Comercio al por Mayor                    ,42,9, 89 ," 563,745 "," 6,358 "
Añasco,11,Comercio al Detal                        ,44-45,48, 470 ," 1,890,954 "," 4,023 "
Añasco,11,Transportación y Almacenamiento           ,48-49,4, 30 ," 316,552 "," 10,436 "
Añasco,11,Información                              ,51,3, 20 ," 300,432 "," 15,022 "
Añasco,11,Finanzas y Seguros                       ,52,5, 94 ," 845,601 "," 9,028 "
Añasco,11,"Bienes Raíces, Renta o Arrendamiento     ",53,10, 21 ," 102,483 "," 4,880 "
Añasco,11,Servicios Profesionales y Técnicos       ,54,11, 26 ," 264,579 "," 10,047 "
Añasco,11,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Añasco,11,Servicios Adm. y Desperdicios Sólidos    ,56,5, 7 ," 29,756 "," 4,463 "
Añasco,11,Servicios Educativos                     ,61,4, 335 ," 2,029,584 "," 6,052 "
Añasco,11,Servicios de Salud y Asistencia Social   ,62,47, 240 ," 923,992 "," 3,850 "
Añasco,11,"Arte, Entretenimiento y Recreación       ",71,2, * , * , * 
Añasco,11,Alojamiento y Servicios de Alimentos     ,72,32, 432 ," 1,302,591 "," 3,018 "
Añasco,11,Otros Servicios Excepto Adm. Pública     ,81,24, 60 ," 207,570 "," 3,479 "
Añasco,11,Administración Pública                   ,92,12, 504 ," 1,998,365 "," 3,968 "
Añasco,11,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Arecibo,13,Total Municipio Primer Trimestre 2021 ,,"1,104"," 20,419 "," 128,431,619 "," 6,290 "
Arecibo,13,"Agricultura, Bosque, Pesca y Caza        ",11,62, 443 ," 1,305,158 "," 2,944 "
Arecibo,13,Mineria                                  ,21,2, * , * , * 
Arecibo,13,"Electricidad, Agua y Gas                 ",22,3, 505 ," 4,465,691 "," 8,837 "
Arecibo,13,Construcción                             ,23,52, 514 ," 2,505,314 "," 4,874 "
Arecibo,13,Manufactura                              ,31-33,44," 2,764 "," 21,337,225 "," 7,721 "
Arecibo,13,Alimentos                                ,311,21, 326 ," 1,318,701 "," 4,049 "
Arecibo,13,Productos de Tabaco y Bebidas            ,312,1, * , * , * 
Arecibo,13,Textiles                                 ,313,0, -   , -   , -   
Arecibo,13,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Arecibo,13,Ropa                                     ,315,1, * , * , * 
Arecibo,13,Cuero y Productos Relacionados           ,316,1, * , * , * 
Arecibo,13,Productos de Madera                      ,321,0, -   , -   , -   
Arecibo,13,Papel                                    ,322,1, * , * , * 
Arecibo,13,Imprenta e Industrias Relacionadas       ,323,1, * , * , * 
Arecibo,13,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Arecibo,13,Productos Químicos                       ,325,1, * , * , * 
Arecibo,13,Productos de Goma y Plásticos            ,326,1, * , * , * 
Arecibo,13,Productos Minerales no Metálicos         ,327,2, * , * , * 
Arecibo,13,Industrias de Materiales Primarios       ,331,1, * , * , * 
Arecibo,13,Productos de Metal                       ,332,5, 12 ," 39,970 "," 3,331 "
Arecibo,13,Maquinaria                               ,333,1, * , * , * 
Arecibo,13,Computadora y Productos Electrónicos    ,334,1, * , * , * 
Arecibo,13,Equipo y Aparatos Eléctricos             ,335,2, * , * , * 
Arecibo,13,Equipo de Transportación                 ,336,0, -   , -   , -   
Arecibo,13,Muebles y Productos Relacionados         ,337,3, 5 ," 31,712 "," 6,342 "
Arecibo,13,Industrias Manufactureras Misceláneas    ,339,1, * , * , * 
Arecibo,13,Comercio al por Mayor                    ,42,44, 195 ," 1,055,402 "," 5,422 "
Arecibo,13,Comercio al Detal                        ,44-45,231," 2,218 "," 11,115,282 "," 5,012 "
Arecibo,13,Transportación y Almacenamiento           ,48-49,28, 348 ," 2,117,332 "," 6,090 "
Arecibo,13,Información                              ,51,12, 136 ," 1,184,358 "," 8,730 "
Arecibo,13,Finanzas y Seguros                       ,52,35, 530 ," 4,071,403 "," 7,687 "
Arecibo,13,"Bienes Raíces, Renta o Arrendamiento     ",53,28, 79 ," 646,090 "," 8,178 "
Arecibo,13,Servicios Profesionales y Técnicos       ,54,66, 310 ," 2,488,696 "," 8,037 "
Arecibo,13,Gerencia de Companías y Empresas         ,55,2, * , * , * 
Arecibo,13,Servicios Adm. y Desperdicios Sólidos    ,56,34, 377 ," 1,899,015 "," 5,033 "
Arecibo,13,Servicios Educativos                     ,61,19," 2,850 "," 19,048,198 "," 6,684 "
Arecibo,13,Servicios de Salud y Asistencia Social   ,62,248," 3,402 "," 20,712,678 "," 6,088 "
Arecibo,13,"Arte, Entretenimiento y Recreación       ",71,5, 45 ," 124,121 "," 2,758 "
Arecibo,13,Alojamiento y Servicios de Alimentos     ,72,98," 1,127 "," 3,161,301 "," 2,805 "
Arecibo,13,Otros Servicios Excepto Adm. Pública     ,81,52, 259 ," 944,925 "," 3,653 "
Arecibo,13,Administración Pública                   ,92,39," 4,213 "," 29,906,378 "," 7,099 "
Arecibo,13,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Arroyo,15,Total Municipio Primer Trimestre 2021 ,,105," 2,445 "," 18,360,688 "," 7,509 "
Arroyo,15,"Agricultura, Bosque, Pesca y Caza        ",11,5, 6 ," 14,385 "," 2,398 "
Arroyo,15,Mineria                                  ,21,0, -   , -   , -   
Arroyo,15,"Electricidad, Agua y Gas                 ",22,0, -   , -   , -   
Arroyo,15,Construcción                             ,23,7, 14 ," 66,269 "," 4,734 "
Arroyo,15,Manufactura                              ,31-33,7, * , * , * 
Arroyo,15,Alimentos                                ,311,0, -   , -   , -   
Arroyo,15,Productos de Tabaco y Bebidas            ,312,0, -   , -   , -   
Arroyo,15,Textiles                                 ,313,0, -   , -   , -   
Arroyo,15,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Arroyo,15,Ropa                                     ,315,1, * , * , * 
Arroyo,15,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Arroyo,15,Productos de Madera                      ,321,0, -   , -   , -   
Arroyo,15,Papel                                    ,322,0, -   , -   , -   
Arroyo,15,Imprenta e Industrias Relacionadas       ,323,0, -   , -   , -   
Arroyo,15,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Arroyo,15,Productos Químicos                       ,325,1, * , * , * 
Arroyo,15,Productos de Goma y Plásticos            ,326,0, -   , -   , -   
Arroyo,15,Productos Minerales no Metálicos         ,327,1, * , * , * 
Arroyo,15,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Arroyo,15,Productos de Metal                       ,332,1, * , * , * 
Arroyo,15,Maquinaria                               ,333,1, * , * , * 
Arroyo,15,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Arroyo,15,Equipo y Aparatos Eléctricos             ,335,1, * , * , * 
Arroyo,15,Equipo de Transportación                 ,336,0, -   , -   , -   
Arroyo,15,Muebles y Productos Relacionados         ,337,0, -   , -   , -   
Arroyo,15,Industrias Manufactureras Misceláneas    ,339,1, * , * , * 
Arroyo,15,Comercio al por Mayor                    ,42,0, -   , -   , -   
Arroyo,15,Comercio al Detal                        ,44-45,21, 448 ," 1,613,482 "," 3,604 "
Arroyo,15,Transportación y Almacenamiento           ,48-49,1, * , * , * 
Arroyo,15,Información                              ,51,1, * , * , * 
Arroyo,15,Finanzas y Seguros                       ,52,2, * , * , * 
Arroyo,15,"Bienes Raíces, Renta o Arrendamiento     ",53,5, 8 ," 42,226 "," 5,278 "
Arroyo,15,Servicios Profesionales y Técnicos       ,54,2, * , * , * 
Arroyo,15,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Arroyo,15,Servicios Adm. y Desperdicios Sólidos    ,56,1, * , * , * 
Arroyo,15,Servicios Educativos                     ,61,3, 275 ," 1,719,254 "," 6,259 "
Arroyo,15,Servicios de Salud y Asistencia Social   ,62,16, 162 ," 1,086,733 "," 6,708 "
Arroyo,15,"Arte, Entretenimiento y Recreación       ",71,1, * , * , * 
